DATE,temp_c,wind_speed_mps,wind_dir_deg,cloud_fraction
2023-01-01 00:00:00,18.35,3.35,205.0,0.0
2023-01-01 01:00:00,16.1,3.6,190.0,0.0
2023-01-01 02:00:00,15.6,4.1,200.0,0.0
2023-01-01 03:00:00,15.6,5.7,210.0,0.0
2023-01-01 04:00:00,14.4,3.1,190.0,0.0
2023-01-01 05:00:00,14.4,4.6,736.0,0.0
2023-01-01 06:00:00,14.15,4.6,205.0,0.0
2023-01-01 07:00:00,12.2,4.6,200.0,0.0
2023-01-01 08:00:00,11.7,3.1,200.0,0.0
2023-01-01 09:00:00,11.1,2.6,250.0,0.0
2023-01-01 10:00:00,11.7,4.6,180.0,0.0
2023-01-01 11:00:00,10.6,3.6,200.0,0.0
2023-01-01 12:00:00,10.85,3.6,200.0,0.0
2023-01-01 13:00:00,10.6,3.1,190.0,0.0
2023-01-01 14:00:00,12.8,3.1,190.0,0.0
2023-01-01 15:00:00,15.0,4.1,190.0,0.0
2023-01-01 16:00:00,17.8,5.1,210.0,0.0
2023-01-01 17:00:00,20.6,5.7,210.0,0.0
2023-01-01 18:00:00,22.5,5.4,220.0,0.0
2023-01-01 19:00:00,25.6,3.1,190.0,0.0
2023-01-01 20:00:00,25.0,5.7,200.0,0.0
2023-01-01 21:00:00,25.0,6.7,210.0,0.0
2023-01-01 22:00:00,23.3,5.7,190.0,0.0
2023-01-01 23:00:00,20.6,3.6,180.0,0.0
2023-01-02 00:00:00,18.65,4.1,160.0,0.0
2023-01-02 01:00:00,15.6,3.6,150.0,0.0
2023-01-02 02:00:00,16.7,4.6,150.0,0.0
2023-01-02 03:00:00,14.4,5.1,120.0,0.0
2023-01-02 04:00:00,14.4,4.1,150.0,0.0
2023-01-02 05:00:00,17.2,6.2,584.5,0.0
2023-01-02 06:00:00,16.95,6.7,175.0,0.0
2023-01-02 07:00:00,15.6,5.7,170.0,0.0
2023-01-02 08:00:00,15.0,6.2,160.0,0.0
2023-01-02 09:00:00,14.4,6.7,160.0,0.25
2023-01-02 10:00:00,15.0,6.366666666666667,153.33333333333334,
2023-01-02 11:00:00,16.7,6.45,165.0,
2023-01-02 12:00:00,16.5,6.2,163.33333333333334,0.6666666666666666
2023-01-02 13:00:00,16.1,5.1,160.0,0.0
2023-01-02 14:00:00,17.8,5.7,160.0,0.0
2023-01-02 15:00:00,18.9,4.85,170.0,
2023-01-02 16:00:00,20.0,7.7,190.0,
2023-01-02 17:00:00,20.8,9.05,200.0,0.5
2023-01-02 18:00:00,21.15,8.8,200.0,0.25
2023-01-02 19:00:00,22.8,7.2,210.0,0.0
2023-01-02 20:00:00,23.3,7.2,220.0,0.0
2023-01-02 21:00:00,23.9,8.2,210.0,0.0
2023-01-02 22:00:00,24.4,6.7,200.0,0.0
2023-01-02 23:00:00,18.866666666666664,11.333333333333334,296.6666666666667,
2023-01-03 00:00:00,17.75,8.5,300.0,1.0
2023-01-03 01:00:00,15.8,2.35,255.0,
2023-01-03 02:00:00,13.9,2.1,220.0,
2023-01-03 03:00:00,13.600000000000001,3.35,250.0,0.25
2023-01-03 04:00:00,12.8,3.1,230.0,0.0
2023-01-03 05:00:00,11.1,2.1,604.5,0.0
2023-01-03 06:00:00,10.85,2.1,230.0,0.0
2023-01-03 07:00:00,9.4,3.1,230.0,0.0
2023-01-03 08:00:00,8.9,3.1,240.0,0.0
2023-01-03 09:00:00,8.9,3.1,240.0,0.0
2023-01-03 10:00:00,8.3,2.6,220.0,0.0
2023-01-03 11:00:00,7.2,3.6,230.0,0.0
2023-01-03 12:00:00,7.5,3.35,235.0,0.0
2023-01-03 13:00:00,7.8,2.6,230.0,0.0
2023-01-03 14:00:00,9.4,3.1,220.0,0.0
2023-01-03 15:00:00,11.7,4.6,250.0,0.0
2023-01-03 16:00:00,13.9,7.7,270.0,0.0
2023-01-03 17:00:00,13.9,5.7,230.0,0.0
2023-01-03 18:00:00,14.45,6.7,250.0,0.0
2023-01-03 19:00:00,15.6,6.7,260.0,0.0
2023-01-03 20:00:00,15.6,5.7,270.0,0.0
2023-01-03 21:00:00,15.0,7.2,250.0,0.0
2023-01-03 22:00:00,13.9,4.6,250.0,0.0
2023-01-03 23:00:00,13.3,5.1,250.0,0.0
2023-01-04 00:00:00,12.5,5.1,250.0,0.0
2023-01-04 01:00:00,11.7,4.1,250.0,0.0
2023-01-04 02:00:00,11.7,5.1,250.0,0.0
2023-01-04 03:00:00,11.7,4.1,240.0,0.25
2023-01-04 04:00:00,12.2,4.1,230.0,0.25
2023-01-04 05:00:00,10.6,3.6,614.5,0.0
2023-01-04 06:00:00,10.0,3.1,245.0,0.0
2023-01-04 07:00:00,8.3,2.1,220.0,0.0
2023-01-04 08:00:00,6.7,3.1,240.0,0.0
2023-01-04 09:00:00,8.9,4.1,250.0,0.0
2023-01-04 10:00:00,8.3,3.6,230.0,0.0
2023-01-04 11:00:00,7.2,2.6,250.0,0.0
2023-01-04 12:00:00,6.95,3.3499999999999996,250.0,0.0
2023-01-04 13:00:00,7.8,3.6,260.0,0.0
2023-01-04 14:00:00,10.0,5.1,260.0,0.0
2023-01-04 15:00:00,12.8,8.8,260.0,0.0
2023-01-04 16:00:00,13.9,9.3,280.0,0.0
2023-01-04 17:00:00,15.0,8.8,300.0,0.0
2023-01-04 18:00:00,15.55,8.5,285.0,0.0
2023-01-04 19:00:00,17.2,7.7,270.0,0.0
2023-01-04 20:00:00,17.8,9.3,280.0,0.0
2023-01-04 21:00:00,17.8,7.7,280.0,0.0
2023-01-04 22:00:00,17.2,7.7,290.0,0.0
2023-01-04 23:00:00,15.0,3.6,280.0,0.0
2023-01-05 00:00:00,14.15,3.1,275.0,0.0
2023-01-05 01:00:00,11.1,4.1,60.0,0.0
2023-01-05 02:00:00,6.7,3.6,120.0,0.0
2023-01-05 03:00:00,7.8,1.5,80.0,0.0
2023-01-05 04:00:00,5.6,1.5,230.0,0.0
2023-01-05 05:00:00,5.0,3.1,589.5,0.0
2023-01-05 06:00:00,5.0,1.55,589.5,0.0
2023-01-05 07:00:00,3.3,1.5,60.0,0.0
2023-01-05 08:00:00,2.2,2.6,20.0,0.0
2023-01-05 09:00:00,2.8,0.0,999.0,0.0
2023-01-05 10:00:00,-1.1,1.5,230.0,0.0
2023-01-05 11:00:00,-0.6,2.1,240.0,0.0
2023-01-05 12:00:00,-0.8500000000000001,2.1,260.0,0.0
2023-01-05 13:00:00,0.0,0.0,999.0,0.0
2023-01-05 14:00:00,2.2,0.0,999.0,0.0
2023-01-05 15:00:00,5.0,0.0,999.0,0.0
2023-01-05 16:00:00,8.9,0.0,999.0,0.0
2023-01-05 17:00:00,11.7,0.0,999.0,0.0
2023-01-05 18:00:00,13.05,0.0,999.0,0.0
2023-01-05 19:00:00,16.7,2.6,999.0,0.0
2023-01-05 20:00:00,16.7,3.6,220.0,0.0
2023-01-05 21:00:00,17.2,,999.0,0.0
2023-01-05 22:00:00,17.2,3.1,200.0,0.0
2023-01-05 23:00:00,14.4,3.6,180.0,0.0
2023-01-06 00:00:00,12.75,3.6,175.0,0.0
2023-01-06 01:00:00,9.4,4.1,160.0,0.0
2023-01-06 02:00:00,7.8,3.1,150.0,0.0
2023-01-06 03:00:00,9.4,4.1,150.0,0.0
2023-01-06 04:00:00,9.4,4.1,150.0,0.0
2023-01-06 05:00:00,10.6,4.1,574.5,0.0
2023-01-06 06:00:00,10.3,4.35,155.0,0.0
2023-01-06 07:00:00,7.8,3.1,150.0,0.0
2023-01-06 08:00:00,10.0,6.2,160.0,0.0
2023-01-06 09:00:00,8.9,8.8,150.0,0.0
2023-01-06 10:00:00,8.3,6.2,150.0,0.0
2023-01-06 11:00:00,10.0,3.6,160.0,0.0
2023-01-06 12:00:00,10.3,4.1,160.0,0.0
2023-01-06 13:00:00,10.0,3.6,160.0,0.0
2023-01-06 14:00:00,13.9,6.2,170.0,0.0
2023-01-06 15:00:00,16.1,9.3,190.0,0.0
2023-01-06 16:00:00,17.8,9.3,190.0,0.0
2023-01-06 17:00:00,19.4,8.8,180.0,0.0
2023-01-06 18:00:00,20.549999999999997,9.05,185.0,0.0
2023-01-06 19:00:00,24.4,12.4,200.0,0.0
2023-01-06 20:00:00,25.0,10.8,220.0,0.0
2023-01-06 21:00:00,24.4,11.8,210.0,0.0
2023-01-06 22:00:00,23.9,7.7,210.0,0.0
2023-01-06 23:00:00,22.8,4.1,220.0,0.0
2023-01-07 00:00:00,21.700000000000003,3.8499999999999996,210.0,0.0
2023-01-07 01:00:00,20.6,4.1,160.0,0.0
2023-01-07 02:00:00,18.3,3.6,200.0,0.0
2023-01-07 03:00:00,18.3,5.7,200.0,0.0
2023-01-07 04:00:00,17.8,5.1,210.0,0.0
2023-01-07 05:00:00,17.2,5.1,604.5,0.0
2023-01-07 06:00:00,16.1,3.5999999999999996,240.0,0.0
2023-01-07 07:00:00,13.9,1.5,270.0,
2023-01-07 08:00:00,12.2,2.1,310.0,0.5
2023-01-07 09:00:00,12.2,0.0,999.0,0.0
2023-01-07 10:00:00,11.1,1.5,360.0,0.0
2023-01-07 11:00:00,7.8,2.6,320.0,0.0
2023-01-07 12:00:00,7.5,2.05,310.0,0.0
2023-01-07 13:00:00,6.7,2.1,360.0,0.25
2023-01-07 14:00:00,7.8,5.7,10.0,0.25
2023-01-07 15:00:00,6.7,8.2,350.0,0.25
2023-01-07 16:00:00,9.4,5.1,340.0,0.0
2023-01-07 17:00:00,11.1,5.7,340.0,0.0
2023-01-07 18:00:00,11.95,5.95,335.0,0.0
2023-01-07 19:00:00,12.8,5.1,340.0,0.0
2023-01-07 20:00:00,13.3,5.7,340.0,0.0
2023-01-07 21:00:00,12.8,5.1,350.0,0.0
2023-01-07 22:00:00,11.7,3.1,10.0,0.0
2023-01-07 23:00:00,10.6,4.1,360.0,0.0
2023-01-08 00:00:00,9.2,4.1,355.0,0.0
2023-01-08 01:00:00,8.3,3.6,360.0,0.0
2023-01-08 02:00:00,5.6,3.1,340.0,0.0
2023-01-08 03:00:00,6.7,2.6,330.0,0.0
2023-01-08 04:00:00,6.7,2.6,340.0,0.0
2023-01-08 05:00:00,6.7,1.5,624.5,
2023-01-08 06:00:00,6.7,1.8,220.0,0.625
2023-01-08 07:00:00,6.7,1.5,160.0,0.0
2023-01-08 08:00:00,5.6,0.0,999.0,0.0
2023-01-08 09:00:00,5.6,0.0,999.0,
2023-01-08 10:00:00,5.6,2.1,10.0,0.0
2023-01-08 11:00:00,3.9,2.1,20.0,0.0
2023-01-08 12:00:00,2.5,1.8,120.0,0.0
2023-01-08 13:00:00,1.7,2.1,280.0,0.0
2023-01-08 14:00:00,5.0,1.5,310.0,0.0
2023-01-08 15:00:00,7.8,0.0,999.0,0.0
2023-01-08 16:00:00,10.0,1.5,999.0,0.0
2023-01-08 17:00:00,12.2,0.0,999.0,0.0
2023-01-08 18:00:00,13.3,0.0,999.0,0.0
2023-01-08 19:00:00,16.1,2.1,160.0,0.0
2023-01-08 20:00:00,17.2,0.0,999.0,0.0
2023-01-08 21:00:00,17.2,2.6,140.0,0.0
2023-01-08 22:00:00,17.2,3.1,150.0,0.0
2023-01-08 23:00:00,13.9,2.6,160.0,0.0
2023-01-09 00:00:00,11.65,3.1,150.0,0.0
2023-01-09 01:00:00,9.4,4.1,160.0,0.0
2023-01-09 02:00:00,7.8,3.6,160.0,0.0
2023-01-09 03:00:00,6.7,3.6,140.0,0.0
2023-01-09 04:00:00,7.8,2.6,140.0,0.0
2023-01-09 05:00:00,10.6,5.1,584.5,0.0
2023-01-09 06:00:00,10.85,4.35,170.0,0.0
2023-01-09 07:00:00,11.1,5.1,180.0,0.0
2023-01-09 08:00:00,10.6,3.6,160.0,0.0
2023-01-09 09:00:00,10.6,5.1,170.0,0.0
2023-01-09 10:00:00,10.0,2.1,200.0,0.0
2023-01-09 11:00:00,10.6,3.6,170.0,0.0
2023-01-09 12:00:00,10.6,3.8499999999999996,185.0,0.0
2023-01-09 13:00:00,10.6,4.1,190.0,0.0
2023-01-09 14:00:00,12.8,4.6,210.0,0.0
2023-01-09 15:00:00,14.4,6.7,210.0,0.0
2023-01-09 16:00:00,16.7,6.7,210.0,0.0
2023-01-09 17:00:00,18.9,5.1,230.0,0.0
2023-01-09 18:00:00,20.0,5.1,230.0,0.0
2023-01-09 19:00:00,23.3,3.6,230.0,0.0
2023-01-09 20:00:00,24.4,6.2,260.0,0.0
2023-01-09 21:00:00,25.0,6.7,270.0,0.0
2023-01-09 22:00:00,23.9,4.1,260.0,0.0
2023-01-09 23:00:00,21.1,2.6,240.0,0.0
2023-01-10 00:00:00,18.6,2.85,210.0,0.0
2023-01-10 01:00:00,14.4,3.6,170.0,0.0
2023-01-10 02:00:00,12.2,3.6,170.0,0.0
2023-01-10 03:00:00,12.2,4.1,180.0,0.0
2023-01-10 04:00:00,11.7,4.1,180.0,0.0
2023-01-10 05:00:00,10.6,4.1,594.5,0.0
2023-01-10 06:00:00,11.399999999999999,4.1,195.0,0.0
2023-01-10 07:00:00,11.7,2.1,180.0,0.0
2023-01-10 08:00:00,11.7,2.1,190.0,0.0
2023-01-10 09:00:00,12.8,5.1,210.0,0.0
2023-01-10 10:00:00,12.8,5.1,220.0,0.0
2023-01-10 11:00:00,12.8,5.7,210.0,0.0
2023-01-10 12:00:00,12.8,5.95,210.0,0.0
2023-01-10 13:00:00,12.2,5.7,220.0,0.0
2023-01-10 14:00:00,13.9,6.2,220.0,0.0
2023-01-10 15:00:00,17.2,5.7,220.0,0.0
2023-01-10 16:00:00,20.0,5.7,220.0,0.0
2023-01-10 17:00:00,23.9,5.1,240.0,0.0
2023-01-10 18:00:00,25.549999999999997,7.2,255.0,0.0
2023-01-10 19:00:00,27.8,8.8,260.0,0.0
2023-01-10 20:00:00,28.3,8.8,230.0,0.0
2023-01-10 21:00:00,27.8,5.7,240.0,0.0
2023-01-10 22:00:00,27.8,6.2,250.0,0.0
2023-01-10 23:00:00,23.9,3.1,240.0,0.0
2023-01-11 00:00:00,22.5,3.1,230.0,0.0
2023-01-11 01:00:00,18.9,3.1,210.0,0.0
2023-01-11 02:00:00,18.3,3.6,210.0,0.0
2023-01-11 03:00:00,19.4,4.6,220.0,0.0
2023-01-11 04:00:00,18.3,3.6,230.0,0.0
2023-01-11 05:00:00,16.7,3.6,609.5,0.0
2023-01-11 06:00:00,16.4,2.85,200.0,0.0
2023-01-11 07:00:00,13.3,2.6,180.0,0.0
2023-01-11 08:00:00,14.4,3.6,200.0,0.0
2023-01-11 09:00:00,14.4,4.1,190.0,0.0
2023-01-11 10:00:00,13.9,3.6,210.0,0.0
2023-01-11 11:00:00,13.9,3.6,200.0,0.0
2023-01-11 12:00:00,11.65,3.35,180.0,0.0
2023-01-11 13:00:00,12.2,2.6,180.0,0.0
2023-01-11 14:00:00,17.2,5.7,210.0,0.0
2023-01-11 15:00:00,20.0,8.2,210.0,0.0
2023-01-11 16:00:00,23.3,8.2,230.0,0.0
2023-01-11 17:00:00,24.4,6.2,210.0,0.0
2023-01-11 18:00:00,24.7,6.45,210.0,0.0
2023-01-11 19:00:00,27.8,10.3,240.0,0.0
2023-01-11 20:00:00,28.3,8.2,250.0,0.0
2023-01-11 21:00:00,27.2,9.3,240.0,0.0
2023-01-11 22:00:00,25.0,12.9,250.0,0.5
2023-01-11 23:00:00,22.8,6.7,240.0,0.25
2023-01-12 00:00:00,22.8,6.7,245.0,0.125
2023-01-12 01:00:00,21.7,7.7,300.0,
2023-01-12 02:00:00,18.9,7.7,300.0,0.25
2023-01-12 03:00:00,17.2,7.7,290.0,0.0
2023-01-12 04:00:00,16.1,6.2,290.0,0.0
2023-01-12 05:00:00,15.6,9.3,654.5,0.0
2023-01-12 06:00:00,14.75,8.75,310.0,0.0
2023-01-12 07:00:00,10.0,10.8,340.0,0.0
2023-01-12 08:00:00,8.9,7.2,330.0,0.0
2023-01-12 09:00:00,7.8,9.8,330.0,0.0
2023-01-12 10:00:00,7.2,9.3,320.0,0.0
2023-01-12 11:00:00,6.1,7.7,330.0,0.0
2023-01-12 12:00:00,5.85,8.5,330.0,0.0
2023-01-12 13:00:00,5.6,9.8,340.0,0.0
2023-01-12 14:00:00,6.7,9.8,330.0,0.0
2023-01-12 15:00:00,8.9,8.8,340.0,0.0
2023-01-12 16:00:00,10.6,9.8,340.0,0.0
2023-01-12 17:00:00,11.7,9.3,340.0,0.0
2023-01-12 18:00:00,12.25,9.8,350.0,0.0
2023-01-12 19:00:00,13.9,10.8,350.0,0.0
2023-01-12 20:00:00,14.4,9.8,350.0,0.0
2023-01-12 21:00:00,14.4,7.7,360.0,0.0
2023-01-12 22:00:00,13.3,6.2,360.0,0.0
2023-01-12 23:00:00,11.7,5.7,360.0,0.0
2023-01-13 00:00:00,10.55,3.9000000000000004,190.0,0.0
2023-01-13 01:00:00,8.9,2.6,30.0,0.0
2023-01-13 02:00:00,7.2,0.0,999.0,0.0
2023-01-13 03:00:00,4.4,1.5,190.0,0.0
2023-01-13 04:00:00,3.9,0.0,999.0,0.0
2023-01-13 05:00:00,1.7,1.5,594.5,0.0
2023-01-13 06:00:00,2.5,0.75,594.5,0.0
2023-01-13 07:00:00,0.6,2.6,200.0,0.0
2023-01-13 08:00:00,2.8,0.0,999.0,0.0
2023-01-13 09:00:00,1.1,1.5,180.0,0.0
2023-01-13 10:00:00,0.6,1.5,120.0,0.0
2023-01-13 11:00:00,0.0,2.1,150.0,0.0
2023-01-13 12:00:00,-0.3,2.1,180.0,0.0
2023-01-13 13:00:00,-0.6,2.1,180.0,0.0
2023-01-13 14:00:00,2.2,0.0,999.0,0.0
2023-01-13 15:00:00,8.3,1.5,120.0,0.0
2023-01-13 16:00:00,11.7,0.0,999.0,0.0
2023-01-13 17:00:00,13.3,0.0,999.0,0.0
2023-01-13 18:00:00,13.850000000000001,0.0,999.0,0.0
2023-01-13 19:00:00,15.6,0.0,999.0,0.0
2023-01-13 20:00:00,17.2,,999.0,0.0
2023-01-13 21:00:00,17.8,0.0,999.0,0.0
2023-01-13 22:00:00,16.7,0.0,999.0,0.0
2023-01-13 23:00:00,13.9,3.1,170.0,0.0
2023-01-14 00:00:00,12.5,3.35,165.0,0.0
2023-01-14 01:00:00,8.9,3.1,160.0,0.0
2023-01-14 02:00:00,7.2,3.6,160.0,0.0
2023-01-14 03:00:00,6.7,3.6,140.0,0.0
2023-01-14 04:00:00,5.6,3.6,150.0,0.0
2023-01-14 05:00:00,5.6,4.1,574.5,0.0
2023-01-14 06:00:00,5.85,3.8499999999999996,150.0,0.0
2023-01-14 07:00:00,7.2,4.6,160.0,0.0
2023-01-14 08:00:00,7.8,5.7,160.0,0.0
2023-01-14 09:00:00,8.3,5.1,170.0,0.0
2023-01-14 10:00:00,8.3,4.6,170.0,0.0
2023-01-14 11:00:00,8.3,6.7,180.0,0.0
2023-01-14 12:00:00,7.5,6.2,180.0,0.0
2023-01-14 13:00:00,6.7,7.2,170.0,0.0
2023-01-14 14:00:00,7.8,7.7,170.0,0.0
2023-01-14 15:00:00,11.1,9.3,190.0,0.0
2023-01-14 16:00:00,13.3,10.3,180.0,0.0
2023-01-14 17:00:00,15.0,9.8,180.0,0.0
2023-01-14 18:00:00,15.85,10.05,180.0,0.0
2023-01-14 19:00:00,18.3,10.3,180.0,0.0
2023-01-14 20:00:00,18.9,7.7,190.0,0.0
2023-01-14 21:00:00,19.4,9.3,170.0,0.0
2023-01-14 22:00:00,19.4,7.7,190.0,0.0
2023-01-14 23:00:00,17.8,7.7,180.0,0.0
2023-01-15 00:00:00,16.7,7.2,175.0,0.0
2023-01-15 01:00:00,15.6,9.3,170.0,0.0
2023-01-15 02:00:00,15.0,9.3,180.0,0.0
2023-01-15 03:00:00,13.9,10.3,170.0,0.0
2023-01-15 04:00:00,13.9,11.8,180.0,0.0
2023-01-15 05:00:00,12.8,10.8,594.5,0.0
2023-01-15 06:00:00,12.5,10.3,185.0,0.0
2023-01-15 07:00:00,12.8,7.7,180.0,0.0
2023-01-15 08:00:00,11.7,8.8,180.0,0.0
2023-01-15 09:00:00,11.7,5.7,180.0,0.0
2023-01-15 10:00:00,11.1,5.7,180.0,0.0
2023-01-15 11:00:00,11.1,7.7,180.0,0.0
2023-01-15 12:00:00,11.1,7.2,180.0,0.0
2023-01-15 13:00:00,11.1,4.1,170.0,0.0
2023-01-15 14:00:00,12.2,7.7,180.0,0.0
2023-01-15 15:00:00,12.8,8.2,190.0,0.0
2023-01-15 16:00:00,13.3,9.8,200.0,0.0
2023-01-15 17:00:00,15.6,9.3,180.0,0.0
2023-01-15 18:00:00,15.850000000000001,9.3,180.0,0.0
2023-01-15 19:00:00,18.3,10.3,190.0,0.0
2023-01-15 20:00:00,18.3,10.3,180.0,0.0
2023-01-15 21:00:00,19.4,8.8,180.0,0.0
2023-01-15 22:00:00,19.4,7.2,190.0,0.0
2023-01-15 23:00:00,18.9,6.2,170.0,0.0
2023-01-16 00:00:00,18.6,5.95,170.0,0.0
2023-01-16 01:00:00,18.3,7.7,170.0,0.0
2023-01-16 02:00:00,17.8,8.8,180.0,0.0
2023-01-16 03:00:00,17.2,9.3,200.0,0.0
2023-01-16 04:00:00,16.7,9.8,200.0,0.0
2023-01-16 05:00:00,16.7,7.7,604.5,0.0
2023-01-16 06:00:00,16.4,6.95,215.0,0.0
2023-01-16 07:00:00,16.1,5.7,210.0,0.0
2023-01-16 08:00:00,16.1,6.2,220.0,0.0
2023-01-16 09:00:00,15.6,5.1,220.0,0.0
2023-01-16 10:00:00,15.0,4.1,210.0,0.0
2023-01-16 11:00:00,14.4,3.6,200.0,0.0
2023-01-16 12:00:00,14.4,3.1,205.0,0.0
2023-01-16 13:00:00,13.9,3.6,190.0,0.5
2023-01-16 14:00:00,13.9,2.6,180.0,0.5
2023-01-16 15:00:00,16.7,4.6,210.0,0.0
2023-01-16 16:00:00,18.9,6.7,270.0,0.0
2023-01-16 17:00:00,20.6,7.7,260.0,0.0
2023-01-16 18:00:00,21.4,7.949999999999999,255.0,0.0
