DATE,temp_c,wind_speed_mps,wind_dir_deg,cloud_fraction
2023-01-01 00:00:00,22.5,2.35,190.0,0.375
2023-01-01 01:00:00,20.6,1.5,190.0,0.25
2023-01-01 02:00:00,15.0,2.1,290.0,0.25
2023-01-01 03:00:00,15.0,1.8,225.0,0.25
2023-01-01 04:00:00,17.8,3.6,180.0,0.25
2023-01-01 05:00:00,16.7,2.6,732.6666666666666,0.25
2023-01-01 06:00:00,16.7,2.85,200.0,0.125
2023-01-01 07:00:00,15.0,1.5,270.0,0.0
2023-01-01 08:00:00,11.7,1.5,340.0,0.0
2023-01-01 09:00:00,11.399999999999999,0.75,669.5,0.0
2023-01-01 10:00:00,10.6,0.0,999.0,0.0
2023-01-01 11:00:00,8.95,0.0,999.0,0.25
2023-01-01 12:00:00,9.45,0.9,659.5,0.25
2023-01-01 13:00:00,10.0,0.0,999.0,
2023-01-01 14:00:00,11.149999999999999,0.0,999.0,
2023-01-01 15:00:00,13.05,0.0,999.0,
2023-01-01 16:00:00,15.2,1.24,509.6,
2023-01-01 17:00:00,17.666666666666668,1.4000000000000001,449.6666666666667,
2023-01-01 18:00:00,19.700000000000003,1.55,999.0,0.625
2023-01-01 19:00:00,23.9,4.1,220.0,
2023-01-01 20:00:00,25.6,4.1,170.0,
2023-01-01 21:00:00,25.6,4.1,165.0,0.75
2023-01-01 22:00:00,25.0,4.1,150.0,
2023-01-01 23:00:00,21.7,3.6,140.0,
2023-01-02 00:00:00,21.15,3.8499999999999996,135.0,0.75
2023-01-02 01:00:00,18.3,1.5,100.0,0.5
2023-01-02 02:00:00,16.7,3.6,120.0,0.25
2023-01-02 03:00:00,17.799999999999997,3.8499999999999996,130.0,0.25
2023-01-02 04:00:00,19.8,5.833333333333333,146.66666666666666,
2023-01-02 05:00:00,20.6,4.6,574.5,
2023-01-02 06:00:00,20.733333333333334,5.666666666666667,150.0,1.0
2023-01-02 07:00:00,20.6,4.6,160.0,
2023-01-02 08:00:00,21.05,4.35,165.0,
2023-01-02 09:00:00,21.1,4.6,160.0,1.0
2023-01-02 10:00:00,21.1,5.7,150.0,
2023-01-02 11:00:00,21.1,6.2,140.0,
2023-01-02 12:00:00,21.1,5.4,135.0,1.0
2023-01-02 13:00:00,21.1,4.1,170.0,
2023-01-02 14:00:00,21.1,4.75,157.5,
2023-01-02 15:00:00,21.4,4.6,145.0,1.0
2023-01-02 16:00:00,22.400000000000002,6.2,146.66666666666666,
2023-01-02 17:00:00,24.4,8.8,170.0,
2023-01-02 18:00:00,24.266666666666666,5.666666666666667,183.33333333333334,1.0
2023-01-02 19:00:00,25.6,4.1,210.0,
2023-01-02 20:00:00,27.2,4.1,170.0,0.25
2023-01-02 21:00:00,27.5,4.35,190.0,0.25
2023-01-02 22:00:00,27.8,4.6,210.0,0.5
2023-01-02 23:00:00,26.7,2.1,999.0,0.5
2023-01-03 00:00:00,24.45,1.8,654.5,0.5
2023-01-03 01:00:00,20.6,2.6,310.0,0.5
2023-01-03 02:00:00,19.4,0.0,999.0,0.25
2023-01-03 03:00:00,19.15,0.0,999.0,0.25
2023-01-03 04:00:00,17.8,0.0,999.0,0.5
2023-01-03 05:00:00,18.9,2.1,559.5,0.5
2023-01-03 06:00:00,19.119999999999997,4.119999999999999,274.0,0.5
2023-01-03 07:00:00,18.933333333333334,4.433333333333333,340.0,
2023-01-03 08:00:00,18.3,5.1,350.0,
2023-01-03 09:00:00,18.6,5.4,340.0,0.75
2023-01-03 10:00:00,18.9,4.1,330.0,
2023-01-03 11:00:00,17.8,5.1,330.0,
2023-01-03 12:00:00,17.8,5.1,335.0,0.75
2023-01-03 13:00:00,16.7,4.6,320.0,
2023-01-03 14:00:00,16.7,2.1,320.0,
2023-01-03 15:00:00,18.049999999999997,2.85,330.0,0.75
2023-01-03 16:00:00,22.2,6.2,350.0,0.5
2023-01-03 17:00:00,23.3,4.6,10.0,0.5
2023-01-03 18:00:00,24.15,4.1,175.0,0.5
2023-01-03 19:00:00,25.0,2.6,330.0,
2023-01-03 20:00:00,25.6,2.1,320.0,
2023-01-03 21:00:00,25.3,2.1,659.5,0.625
2023-01-03 22:00:00,23.9,2.6,280.0,
2023-01-03 23:00:00,22.2,3.6,330.0,
2023-01-04 00:00:00,21.1,3.1,315.0,0.625
2023-01-04 01:00:00,18.3,2.6,290.0,
2023-01-04 02:00:00,17.8,2.1,290.0,
2023-01-04 03:00:00,16.950000000000003,1.8,315.0,0.75
2023-01-04 04:00:00,13.9,2.1,290.0,
2023-01-04 05:00:00,11.7,2.1,644.5,
2023-01-04 06:00:00,11.399999999999999,2.35,300.0,0.75
2023-01-04 07:00:00,10.6,3.1,300.0,
2023-01-04 08:00:00,9.4,3.1,290.0,
